embedding,train size,test size,training time,inference time,recall,MAP
CountVectorizer,100,120,0.04,0.01,0.6083,0.3474
CountVectorizer,500,589,0.18,0.07,0.2988,0.1557
CountVectorizer,837,1000,0.25,0.04,0.111,0.0453
CountVectorizer,1000,1000,0.27,0.05,0.1,0.0419
CountVectorizer,5000,1000,0.86,0.22,0.043,0.0141
CountVectorizer,10000,1000,1.52,0.44,0.032,0.0111
CountVectorizer,20000,1000,2.87,0.87,0.029,0.011
CountVectorizer,30000,1000,4.39,1.32,0.028,0.0097
TF-IDF,100,120,0.04,0.01,0.75,0.4836
TF-IDF,500,589,0.19,0.04,0.4788,0.2702
TF-IDF,837,1000,0.22,0.03,0.126,0.053
TF-IDF,1000,1000,0.25,0.04,0.119,0.0492
TF-IDF,5000,1000,0.79,0.19,0.052,0.0165
TF-IDF,10000,1000,1.45,0.37,0.037,0.013
TF-IDF,20000,1000,2.73,0.73,0.039,0.0138
TF-IDF,30000,1000,4.04,1.08,0.029,0.01
Fasttext,100,120,0.17,0.0,0.475,0.2034
Fasttext,500,589,0.57,0.0,0.1851,0.088
Fasttext,837,1000,0.9,0.0,0.151,0.0679
Fasttext,1000,1000,1.02,0.0,0.13,0.0548
Fasttext,5000,1000,3.41,0.0,0.049,0.0224
Fasttext,10000,1000,6.19,0.0,0.026,0.0106
Fasttext,20000,1000,11.69,0.0,0.021,0.0089
Fasttext,30000,1000,17.55,0.0,0.014,0.0064
Word2Vec,100,120,0.09,0.0,0.4417,0.2906
Word2Vec,500,589,0.43,0.0,0.2496,0.1413
Word2Vec,837,1000,0.7,0.0,0.204,0.1166
Word2Vec,1000,1000,0.78,0.0,0.199,0.114
Word2Vec,5000,1000,2.65,0.0,0.123,0.0677
Word2Vec,10000,1000,4.97,0.0,0.084,0.0473
Word2Vec,20000,1000,9.43,0.0,0.064,0.0336
Word2Vec,30000,1000,14.08,0.0,0.044,0.0234
Doc2Vec,100,120,1.81,0.0,0.0833,0.0302
Doc2Vec,500,589,9.36,0.01,0.0136,0.0039
Doc2Vec,837,1000,15.5,0.01,0.01,0.0028
Doc2Vec,1000,1000,17.35,0.01,0.009,0.0036
Doc2Vec,5000,1000,58.27,0.01,0.003,0.0008
Doc2Vec,10000,1000,106.65,0.01,0.002,0.0003
Doc2Vec,20000,1000,207.12,0.01,0.002,0.0005
Doc2Vec,30000,1000,308.13,0.01,0.0,0.0
Universal Sentence Encoder,100,120,122.79,0.25,0.3833,0.1833
Universal Sentence Encoder,500,589,619.0,0.25,0.1426,0.0805
Universal Sentence Encoder,837,1000,1025.6,0.27,0.105,0.056
Universal Sentence Encoder,1000,1000,1162.61,0.26,0.089,0.0438
Universal Sentence Encoder,5000,1000,3756.73,0.25,0.025,0.0122
Universal Sentence Encoder,10000,1000,7086.95,0.27,0.017,0.0049
Universal Sentence Encoder,20000,1000,12862.9,0.23,0.008,0.0038
Universal Sentence Encoder,30000,1000,19584.41,0.24,0.01,0.0042
