embedding,train size,test size,training time,inference time,recall,MAP
CountVectorizer,100,120,0.05,0.01,0.5333,0.304
CountVectorizer,500,589,0.22,0.07,0.3362,0.1616
CountVectorizer,837,1000,0.23,0.04,0.1,0.0379
CountVectorizer,1000,1000,0.23,0.05,0.093,0.0348
CountVectorizer,5000,1000,0.71,0.22,0.054,0.0205
CountVectorizer,10000,1000,1.28,0.44,0.034,0.0099
CountVectorizer,20000,1000,2.48,0.87,0.031,0.0099
CountVectorizer,30000,1000,3.52,1.32,0.035,0.0099
TF-IDF,100,120,0.04,0.01,0.6667,0.4642
TF-IDF,500,589,0.16,0.04,0.4465,0.274
TF-IDF,837,1000,0.21,0.03,0.114,0.0448
TF-IDF,1000,1000,0.24,0.04,0.1,0.0414
TF-IDF,5000,1000,0.75,0.19,0.06,0.0209
TF-IDF,10000,1000,1.31,0.39,0.036,0.0101
TF-IDF,20000,1000,2.47,0.75,0.042,0.0111
TF-IDF,30000,1000,3.48,1.11,0.039,0.0102
