embedding,train size,test size,training time,inference time,recall,MAP
CountVectorizer,131,100,0.08,0.01,0.61,0.3447
CountVectorizer,525,500,0.25,0.07,0.366,0.21600000000000005
CountVectorizer,1039,1000,0.46,0.17,0.314,0.1693
CountVectorizer,5000,1000,2.08,2.09,0.172,0.0877
CountVectorizer,10000,1000,2.84,2.0,0.171,0.0758
CountVectorizer,20000,1000,6.14,4.04,0.12,0.055
CountVectorizer,30000,1000,8.22,6.02,0.107,0.0487
TF-IDF,131,100,0.07,0.01,0.75,0.5151
TF-IDF,525,500,0.21,0.05,0.542,0.3204
TF-IDF,1039,1000,0.4,0.11,0.455,0.2429
TF-IDF,5000,1000,1.53,1.74,0.265,0.122
TF-IDF,10000,1000,3.59,1.32,0.25,0.1159
TF-IDF,20000,1000,7.91,2.63,0.155,0.0693
TF-IDF,30000,1000,7.74,3.9,0.14400000000000002,0.0644
Fasttext,131,100,0.26,0.0,0.48,0.2242
Fasttext,525,500,0.87,0.0,0.226,0.1253
Fasttext,1039,1000,1.65,0.0,0.166,0.0842
Fasttext,5000,1000,5.06,0.0,0.08199999999999999,0.0463
Fasttext,10000,1000,9.47,0.0,0.063,0.0349
Fasttext,20000,1000,17.91,0.0,0.045,0.0232
Fasttext,30000,1000,25.79,0.0,0.033,0.0181
Word2Vec,131,100,0.13,0.0,0.62,0.3761
Word2Vec,525,500,0.48,0.0,0.35600000000000004,0.2053
Word2Vec,1039,1000,0.86,0.0,0.265,0.1512
Word2Vec,5000,1000,2.67,0.0,0.16899999999999998,0.0904
Word2Vec,10000,1000,4.98,0.0,0.11699999999999999,0.0662
Word2Vec,20000,1000,9.62,0.0,0.08199999999999999,0.0483
Word2Vec,30000,1000,14.27,0.0,0.073,0.0391
Doc2Vec,131,100,3.18,0.0,0.13,0.0424
Doc2Vec,525,500,10.68,0.01,0.022000000000000002,0.006999999999999999
Doc2Vec,1039,1000,20.37,0.01,0.013999999999999999,0.0044
Doc2Vec,5000,1000,63.51,0.01,0.006999999999999999,0.0017
Doc2Vec,10000,1000,119.11,0.01,0.001,0.0001
Doc2Vec,20000,1000,225.54,0.01,0.001,0.0001
Doc2Vec,30000,1000,332.93,0.01,0.001,0.0001
Universal Sentence Encoder,131,100,173.73,0.21,0.36,0.1659
Universal Sentence Encoder,525,500,540.5,0.19,0.16,0.092
Universal Sentence Encoder,1039,1000,1041.43,0.19,0.139,0.0772
Universal Sentence Encoder,5000,1000,3238.42,0.19,0.049,0.0233
Universal Sentence Encoder,10000,1000,5976.14,0.19,0.027999999999999997,0.0164
Universal Sentence Encoder,20000,1000,11391.45,0.18,0.018000000000000002,0.0107
Universal Sentence Encoder,30000,1000,16768.33,0.18,0.01,0.0071
