true	predicted
Райское озеро	Вратарь (фильм, 2015)
Райское озеро	Сумрак разума
Райское озеро	Неистовый (фильм, 2020)
Райское озеро	Поцелуи (фильм, 2008)
Райское озеро	Зловещие мертвецы: Чёрная книга
Райское озеро	SOS: Спасите наши души
Райское озеро	Кровавое дерево
Райское озеро	Автомобильные воры
Райское озеро	Загадка старой штольни
Райское озеро	Противный ребёнок
Повелитель кукол	Танцы кукол
Демонические игрушки	Танцы кукол
Дьявольская кукла	Танцы кукол
Проклятие Аннабель	Танцы кукол
Повелитель кукол	Заклятие (фильм)
Демонические игрушки	Заклятие (фильм)
Дьявольская кукла	Заклятие (фильм)
Проклятие Аннабель	Заклятие (фильм)
Повелитель кукол	Коралина в Стране Кошмаров
Демонические игрушки	Коралина в Стране Кошмаров
Дьявольская кукла	Коралина в Стране Кошмаров
Проклятие Аннабель	Коралина в Стране Кошмаров
Повелитель кукол	Алиса (фильм, 1988)
Демонические игрушки	Алиса (фильм, 1988)
Дьявольская кукла	Алиса (фильм, 1988)
Проклятие Аннабель	Алиса (фильм, 1988)
Повелитель кукол	Мёртвая тишина
Демонические игрушки	Мёртвая тишина
Дьявольская кукла	Мёртвая тишина
Проклятие Аннабель	Мёртвая тишина
Повелитель кукол	Рассказы Русалочки
Демонические игрушки	Рассказы Русалочки
Дьявольская кукла	Рассказы Русалочки
Проклятие Аннабель	Рассказы Русалочки
Повелитель кукол	Дом с прислугой
Демонические игрушки	Дом с прислугой
Дьявольская кукла	Дом с прислугой
Проклятие Аннабель	Дом с прислугой
Повелитель кукол	Когда-то давно…
Демонические игрушки	Когда-то давно…
Дьявольская кукла	Когда-то давно…
Проклятие Аннабель	Когда-то давно…
Повелитель кукол	Овертайм (мультфильм)
Демонические игрушки	Овертайм (мультфильм)
Дьявольская кукла	Овертайм (мультфильм)
Проклятие Аннабель	Овертайм (мультфильм)
Повелитель кукол	Девочка со спичками (фильм)
Демонические игрушки	Девочка со спичками (фильм)
Дьявольская кукла	Девочка со спичками (фильм)
Проклятие Аннабель	Девочка со спичками (фильм)
Империя солнца (фильм)	Исчезнувшие из Сент-Ажиля (фильм, 1938)
Империя солнца (фильм)	Крик тишины (фильм, 2019)
Империя солнца (фильм)	Fullmetal Alchemist: The Sacred Star of Milos
Империя солнца (фильм)	Мой сын для меня
Империя солнца (фильм)	Взлётная полоса (фильм, 2005)
Империя солнца (фильм)	Бабушки и внучата
